74925.0	0.0	1610.0	0.0	10167.0	5.0
0.0	0.0	0.0	0.0	0.0	0.0	
177636.0	0.0	3886.0	0.0	26571.0	26.0	
67066.0	0.0	5014.0	0.0	12045.0	49.0	
0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	
